os,version,position_url,position,download_position,download_url
win,56.0.2924.76,https://omahaproxy.appspot.com/deps.json?version=56.0.2924.76,433059,433056,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F433056%2Fchrome-win32-syms.zip?generation=1479442055240879&alt=media
win,53.0.2785.143,https://omahaproxy.appspot.com/deps.json?version=53.0.2785.143,403382,403380,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F403380%2Fchrome-win32-syms.zip?generation=1467337952247000&alt=media
win,53.0.2785.116,https://omahaproxy.appspot.com/deps.json?version=53.0.2785.116,403382,403380,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F403380%2Fchrome-win32-syms.zip?generation=1467337952247000&alt=media
win,55.0.2883.87,https://omahaproxy.appspot.com/deps.json?version=55.0.2883.87,423768,423765,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F423765%2Fchrome-win32-syms.zip?generation=1475803509090000&alt=media
win,53.0.2785.113,https://omahaproxy.appspot.com/deps.json?version=53.0.2785.113,403382,403380,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F403380%2Fchrome-win32-syms.zip?generation=1467337952247000&alt=media
win,56.0.2924.87,https://omahaproxy.appspot.com/deps.json?version=56.0.2924.87,433059,433056,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F433056%2Fchrome-win32-syms.zip?generation=1479442055240879&alt=media
win,55.0.2883.75,https://omahaproxy.appspot.com/deps.json?version=55.0.2883.75,423768,423765,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F423765%2Fchrome-win32-syms.zip?generation=1475803509090000&alt=media
win,52.0.2743.82,https://omahaproxy.appspot.com/deps.json?version=52.0.2743.82,394939,394937,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F394937%2Fchrome-win32-syms.zip?generation=1463707036235000&alt=media
win,54.0.2840.59,https://omahaproxy.appspot.com/deps.json?version=54.0.2840.59,414607,414609,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F414609%2Fchrome-win32-syms.zip?generation=1472175833657000&alt=media
win,54.0.2840.99,https://omahaproxy.appspot.com/deps.json?version=54.0.2840.99,414607,414609,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F414609%2Fchrome-win32-syms.zip?generation=1472175833657000&alt=media
win,54.0.2840.87,https://omahaproxy.appspot.com/deps.json?version=54.0.2840.87,414607,414609,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F414609%2Fchrome-win32-syms.zip?generation=1472175833657000&alt=media
win,51.0.2704.103,https://omahaproxy.appspot.com/deps.json?version=51.0.2704.103,386251,386255,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F386255%2Fchrome-win32-syms.zip?generation=1460162275834000&alt=media
win,53.0.2785.89,https://omahaproxy.appspot.com/deps.json?version=53.0.2785.89,403382,403380,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F403380%2Fchrome-win32-syms.zip?generation=1467337952247000&alt=media
win,53.0.2785.101,https://omahaproxy.appspot.com/deps.json?version=53.0.2785.101,403382,403380,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F403380%2Fchrome-win32-syms.zip?generation=1467337952247000&alt=media
win,51.0.2704.84,https://omahaproxy.appspot.com/deps.json?version=51.0.2704.84,386251,386255,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F386255%2Fchrome-win32-syms.zip?generation=1460162275834000&alt=media
win,51.0.2704.63,https://omahaproxy.appspot.com/deps.json?version=51.0.2704.63,386251,386255,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F386255%2Fchrome-win32-syms.zip?generation=1460162275834000&alt=media
win,57.0.2987.133,https://omahaproxy.appspot.com/deps.json?version=57.0.2987.133,444943,444943,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F444943%2Fchrome-win32-syms.zip?generation=1484879834115743&alt=media
win,59.0.3071.104,https://omahaproxy.appspot.com/deps.json?version=59.0.3071.104,464641,464638,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F464638%2Fchrome-win32-syms.zip?generation=1492133587132945&alt=media
win,65.0.3325.181,https://omahaproxy.appspot.com/deps.json?version=65.0.3325.181,530369,530366,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F530366%2Fchrome-win32-syms.zip?generation=1516324075931592&alt=media
win,50.0.2661.87,https://omahaproxy.appspot.com/deps.json?version=50.0.2661.87,378081,378086,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F378086%2Fchrome-win32-syms.zip?generation=1456542006078000&alt=media
win,50.0.2661.94,https://omahaproxy.appspot.com/deps.json?version=50.0.2661.94,378081,378086,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F378086%2Fchrome-win32-syms.zip?generation=1456542006078000&alt=media
win,49.0.2623.112,https://omahaproxy.appspot.com/deps.json?version=49.0.2623.112,369907,369909,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F369909%2Fchrome-win32-syms.zip?generation=1452909793395000&alt=media
win,49.0.2623.87,https://omahaproxy.appspot.com/deps.json?version=49.0.2623.87,369907,369909,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F369909%2Fchrome-win32-syms.zip?generation=1452909793395000&alt=media
